Simbolo,Descrizione,Prezzo,Prezzo - Valuta,Settore,Capitalizzazione di mercato,Capitalizzazione di mercato - Valuta,Borsa del mercato
ESE,ESCO Technologies Inc.,276.56,USD,Tecnologia elettronica,7161731734,USD,
GATX,GATX Corporation,198.52,USD,Trasporti,7047460152,USD,
ORA,"Ormat Technologies, Inc.",115.92,USD,Utenze,7045825180.999999,USD,
GKOS,Glaukos Corp,120.27,USD,Tecnologia sanitaria,6907675766,USD,
CWAN,"Clearwater Analytics Holdings, Inc. Class A",23.3,USD,Servizi tecnologici,6905439690.000001,USD,
KYMR,"Kymera Therapeutics, Inc.",87.4,USD,Tecnologia sanitaria,6900144502.000001,USD,
EPRT,"Essential Properties Realty Trust, Inc.",32.74,USD,Finanza,6889598169,USD,
TRNO,Terreno Realty Corporation,65.88,USD,Finanza,6863252478,USD,
RRR,"Red Rock Resorts, Inc. Class A",64.02,USD,Servizi al consumatore,6776859966.000001,USD,
SNEX,StoneX Group Inc.,128.67,USD,Finanza,6750455014,USD,
SLAB,Silicon Laboratories Inc.,204.64,USD,Tecnologia elettronica,6744101250,USD,
QBTS,D-Wave Quantum Inc.,18.06,USD,Tecnologia elettronica,6740576667.000001,USD,
HQY,HealthEquity Inc,78.895,USD,Finanza,6740495570,USD,
RYTM,"Rhythm Pharmaceuticals, Inc.",99.78,USD,Tecnologia sanitaria,6658923333,USD,
POWL,"Powell Industries, Inc.",546.82,USD,Filiera di fabbricazione,6639643519,USD,
VAL,Valaris Ltd.,95.75,USD,Servizi industriali,6628861214,USD,
GPGI,"GPGI, Inc. Class A",22.87,USD,Servizi commerciali,6618930561.000001,USD,
RHP,"Ryman Hospitality Properties, Inc.",104.85,USD,Finanza,6605977073,USD,
GBCI,"Glacier Bancorp, Inc.",50.5,USD,Finanza,6562038703.999999,USD,
VSEC,VSE Corporation,227.78,USD,Servizi industriali,6559462070,USD,
TMHC,Taylor Morrison Home Corporation,67.91,USD,Beni di consumo durevoli,6542019989.000001,USD,
TXNM,"TXNM Energy, Inc.",59.05,USD,Utenze,6431806001,USD,
UFPI,"UFP Industries, Inc.",109.77,USD,Minerali non energetici,6394894978,USD,
LTH,"Life Time Group Holdings, Inc.",28.95,USD,Servizi al consumatore,6383829445,USD,
ENS,EnerSys,173.21,USD,Filiera di fabbricazione,6383027012,USD,
EAT,"Brinker International, Inc.",146.52,USD,Servizi al consumatore,6380994142,USD,
VIAV,Viavi Solutions Inc,27.53,USD,Servizi tecnologici,6370148779,USD,
SWX,"Southwest Gas Holdings, Inc.",87.6,USD,Utenze,6323310104,USD,
VSAT,"ViaSat, Inc.",46.5,USD,Tecnologia elettronica,6316160362,USD,
MIRM,"Mirum Pharmaceuticals, Inc.",105.16,USD,Tecnologia sanitaria,6296976318,USD,
WULF,TeraWulf Inc.,15.01,USD,Servizi tecnologici,6284415186,USD,
UBSI,"United Bankshares, Inc.",44.28,USD,Finanza,6217646676,USD,
ACA,"Arcosa, Inc.",126.32,USD,Minerali non energetici,6195367527,USD,
SSRM,SSR Mining Inc,30.46,USD,Minerali non energetici,6193318244.623171,USD,
URBN,"Urban Outfitters, Inc.",68.35,USD,Vendita al dettaglio,6129555399.999999,USD,
BOOT,"Boot Barn Holdings, Inc.",199.76,USD,Vendita al dettaglio,6076785157.000001,USD,
AGX,"Argan, Inc.",437.61,USD,Servizi industriali,6071142845,USD,
CWST,"Casella Waste Systems, Inc. Class A",95.46,USD,Servizi industriali,6061072048,USD,
COGT,"Cogent Biosciences, Inc.",37.34,USD,Tecnologia sanitaria,6060610891.999999,USD,
POR,Portland General Electric Company,52.44,USD,Utenze,6060055732,USD,
PACS,"PACS Group, Inc.",38.68,USD,Servizi sanitari,6057873772,USD,
GOLF,Acushnet Holdings Corp.,102.17,USD,Beni di consumo durevoli,5993427709,USD,
ACT,Enact Holdings Inc,41.43,USD,Finanza,5982316680,USD,
STEP,"StepStone Group, Inc. Class A",50.07,USD,Finanza,5966425033,USD,
HWC,Hancock Whitney Corporation,71.18,USD,Finanza,5951582524.000001,USD,
GVA,Granite Construction Incorporated,135.79,USD,Servizi industriali,5907363540,USD,
CRK,"Comstock Resources, Inc.",19.97,USD,Minerali energetici,5871614326,USD,
PTCT,"PTC Therapeutics, Inc.",70.66,USD,Tecnologia sanitaria,5848862504,USD,
NPO,Enpro Inc.,274.57,USD,Filiera di fabbricazione,5834063817,USD,
RIOT,"Riot Platforms, Inc.",15.68,USD,Servizi tecnologici,5829936851.999999,USD,
DOCN,"DigitalOcean Holdings, Inc.",63.63,USD,Servizi tecnologici,5821645076,USD,
HUT,Hut 8 Corp.,53.82,USD,Servizi tecnologici,5814531648.168751,USD,
FLG,"Flagstar Bank, National Association",13.94,USD,Finanza,5795636931,USD,
AUB,Atlantic Union Bankshares Corporation,40.65,USD,Finanza,5793363338,USD,
CIFR,Cipher Mining Inc,14.65,USD,Servizi tecnologici,5788098697.000001,USD,
HOMB,"Home BancShares, Inc.",29.4,USD,Finanza,5783281299.999999,USD,
PIPR,Piper Sandler Companies,326.85,USD,Finanza,5781845242,USD,
AROC,Archrock Inc.,32.87,USD,Servizi industriali,5764400016,USD,
CNX,CNX Resources Corporation,40.47,USD,Minerali energetici,5761640391.000001,USD,
ABCB,Ameris Bancorp,83.73,USD,Finanza,5720026882,USD,
ESNT,Essent Group Ltd.,60.36,USD,Finanza,5706606283,USD,
BIPC,Brookfield Infrastructure Corporation Class A,47.83,USD,Utenze,5692644459.400429,USD,
OPCH,Option Care Health Inc,35.69,USD,Servizi sanitari,5665169721,USD,
RUSHA,"Rush Enterprises, Inc. Class A",75.26,USD,Vendita al dettaglio,5661095991.999999,USD,
RUSHB,"Rush Enterprises, Inc. Class B",66.74,USD,Vendita al dettaglio,5661095991.999999,USD,
BDC,Belden Inc.,145.79,USD,Filiera di fabbricazione,5649215974,USD,
SM,SM Energy Company,23.66,USD,Minerali energetici,5637197498,USD,
BCPC,Balchem Corp,171.3,USD,Beni di consumo non durevoli,5547766606,USD,
BKH,Black Hills Corporation,73.35,USD,Utenze,5536079831,USD,
AX,"Axos Financial, Inc.",97.32,USD,Finanza,5515927210,USD,
REZI,"Resideo Technologies, Inc.",36.72,USD,Servizi di distribuzione,5497532606.999999,USD,
PECO,"Phillips Edison & Company, Inc.",39.25,USD,Finanza,5436125120,USD,
RDNT,"RadNet, Inc.",70.08,USD,Servizi sanitari,5423789109.000001,USD,
BCO,Brink's Company,130.5,USD,Servizi commerciali,5421688969,USD,
IMVT,Immunovant Inc,26.6,USD,Tecnologia sanitaria,5413956086.999999,USD,
SKY,"Champion Homes, Inc.",97.34,USD,Beni di consumo durevoli,5383098524,USD,
NJR,New Jersey Resources Corporation,53.25,USD,Utenze,5370006064.999999,USD,
KRG,Kite Realty Group Trust,25.95,USD,Finanza,5366261462,USD,
CORZ,Core Scientific Inc,17.3,USD,Servizi tecnologici,5364060423,USD,
OGS,"ONE Gas, Inc.",85.52,USD,Utenze,5361461176,USD,
SR,Spire Inc.,90.54,USD,Utenze,5350605144,USD,
MIR,"Mirion Technologies, Inc. Class A",21.28,USD,Tecnologia elettronica,5331435106,USD,
PLXS,Plexus Corp.,198.46,USD,Tecnologia elettronica,5316042341.000001,USD,
CRC,California Resources Corp,59.22,USD,Minerali energetici,5287405616,USD,
ATMU,"Atmus Filtration Technologies, Inc.",64.7,USD,Filiera di fabbricazione,5273605569,USD,
ALKS,Alkermes Public Limited Company,31.91,USD,Tecnologia sanitaria,5268900140,USD,
MRCY,"Mercury Systems, Inc.",87.63,USD,Tecnologia elettronica,5259082141,USD,
RGTI,"Rigetti Computing, Inc.",15.92,USD,Tecnologia elettronica,5254014931.999999,USD,
MATX,"Matson, Inc.",167.75,USD,Trasporti,5230450810.000001,USD,
NOVT,Novanta Inc,145.96,USD,Tecnologia elettronica,5221736723,USD,
MAC,Macerich Company,20.3,USD,Finanza,5199196677,USD,
MTH,Meritage Homes Corporation,77.83,USD,Finanza,5199096020,USD,
PTGX,"Protagonist Therapeutics, Inc.",82.76,USD,Tecnologia sanitaria,5173796416,USD,
VSCO,Victoria's Secret & Company,64.37,USD,Vendita al dettaglio,5166910659,USD,
KNF,Knife River Corporation,90.7,USD,Minerali non energetici,5139439638,USD,
CRSP,CRISPR Therapeutics AG,53.46,USD,Tecnologia sanitaria,5131374767,USD,
CSW,"CSW Industrials, Inc.",311.4,USD,Industrie di trasformazione,5128829552.999999,USD,
HRI,"Herc Holdings, Inc.",153.46,USD,Finanza,5121000068,USD,
SIGI,"Selective Insurance Group, Inc.",85.1,USD,Finanza,5112974924,USD,
EBC,"Eastern Bankshares, Inc.",21.42,USD,Finanza,5107611373,USD,
MC,Moelis & Co. Class A,63.18,USD,Finanza,5088149979,USD,
ACHR,Archer Aviation Inc Class A,6.93,USD,Tecnologia elettronica,5076859335.000001,USD,
UUUU,Energy Fuels Inc.,21.35,USD,Minerali non energetici,5066072383,USD,
MGY,Magnolia Oil & Gas Corp. Class A,27.11,USD,Minerali energetici,5053463921,USD,
SBRA,"Sabra Health Care REIT, Inc.",19.93,USD,Finanza,5025264305,USD,
SGHC,Super Group (SGHC) Limited,9.9,USD,Servizi al consumatore,4964170634,USD,
CENX,Century Aluminum Company,52.64,USD,Minerali non energetici,4913521368,USD,
VCTR,"Victory Capital Holdings, Inc. Class A",75.59,USD,Finanza,4908471407,USD,
LNTH,Lantheus Holdings Inc,73.87,USD,Tecnologia sanitaria,4898451580,USD,
SRRK,Scholar Rock Holding Corp.,48,USD,Tecnologia sanitaria,4896357788,USD,
TDS,"Telephone and Data Systems, Inc.",45.29,USD,Comunicazione,4891320099,USD,
IRTC,"iRhythm Holdings, Inc.",150.96,USD,Tecnologia sanitaria,4878538460,USD,
MMSI,"Merit Medical Systems, Inc.",82.21,USD,Tecnologia sanitaria,4874250992,USD,
CELC,Celcuity Inc.,104.79,USD,Tecnologia sanitaria,4848765305,USD,
OSIS,"OSI Systems, Inc.",292.89,USD,Tecnologia elettronica,4824645246,USD,
MUR,Murphy Oil Corporation,33.73,USD,Minerali energetici,4814580175,USD,
STNE,StoneCo Ltd. Class A,17.73,USD,Servizi commerciali,4814441209,USD,
EE,"Excelerate Energy, Inc. Class A",42.15,USD,Utenze,4806405463,USD,
WAY,Waystar Holding Corp.,25.07,USD,Servizi tecnologici,4805457524,USD,
PFSI,"PennyMac Financial Services, Inc.",92.23,USD,Finanza,4792775765,USD,
GLNG,Golar LNG Limited,45.79,USD,Servizi industriali,4790663211,USD,
MCY,Mercury General Corporation,86.44,USD,Finanza,4787793305,USD,
GHC,Graham Holdings Co. Class B,1094.66,USD,Servizi al consumatore,4775370113,USD,
FFIN,First Financial Bankshares Inc,33.33,USD,Finanza,4773060099.000001,USD,
HASI,"HA Sustainable Infrastructure Capital, Inc.",37.28,USD,Finanza,4761424527.999999,USD,
ASB,Associated Banc-Corp,28.56,USD,Finanza,4740248700,USD,
SFBS,ServisFirst Bancshares Inc,86.77,USD,Finanza,4739536667,USD,
PSMT,"PriceSmart, Inc.",153.73,USD,Vendita al dettaglio,4737254114.999999,USD,
NG,Novagold Resources Inc,10.77,USD,Minerali non energetici,4717416595.216656,USD,
RUN,Sunrun Inc.,20.28,USD,Tecnologia elettronica,4705808357,USD,
TGTX,"TG Therapeutics, Inc.",29.53,USD,Tecnologia sanitaria,4688166976,USD,
MWA,"Mueller Water Products, Inc. Class A",29.97,USD,Filiera di fabbricazione,4686867781,USD,
NNI,"Nelnet, Inc. Class A",130.42,USD,Finanza,4686397863,USD,
LAUR,"Laureate Education, Inc.",32.83,USD,Servizi commerciali,4686273366,USD,
ZGN,Ermenegildo Zegna N.V.,11.45,USD,Beni di consumo non durevoli,4683859674,USD,
APGE,"Apogee Therapeutics, Inc.",68.39,USD,Tecnologia sanitaria,4672420463.999999,USD,
ALH,"Alliance Laundry Holdings, Inc.",23.65,USD,Filiera di fabbricazione,4668514833,USD,
WHD,"Cactus, Inc. Class A",58.44,USD,Servizi industriali,4666285630.000001,USD,
BMI,"Badger Meter, Inc.",159.37,USD,Filiera di fabbricazione,4650670933,USD,
CGON,"CG Oncology, Inc.",57.63,USD,Tecnologia sanitaria,4648792240,USD,
TCBI,"Texas Capital Bancshares, Inc.",105.02,USD,Finanza,4639450970,USD,
AIR,AAR CORP.,116.97,USD,Tecnologia elettronica,4628796069,USD,
CVCO,"Cavco Industries, Inc.",595.8,USD,Beni di consumo durevoli,4624100960,USD,
TMDX,"TransMedics Group, Inc.",134.25,USD,Tecnologia sanitaria,4587903002,USD,
TPC,Tutor Perini Corporation,86.9,USD,Servizi industriali,4583388330,USD,
YOU,"Clear Secure, Inc. Class A",34.27,USD,Servizi tecnologici,4563403441,USD,
AMRX,"Amneal Pharmaceuticals, Inc. Class A",14.5,USD,Tecnologia sanitaria,4558262268,USD,
PATK,"Patrick Industries, Inc.",136.85,USD,Beni di consumo durevoli,4548170883,USD,
MZTI,Marzetti Company,165.82,USD,Beni di consumo non durevoli,4547282117,USD,
RDN,Radian Group Inc.,33.32,USD,Finanza,4514495419.000001,USD,
FOLD,"Amicus Therapeutics, Inc.",14.34,USD,Tecnologia sanitaria,4501590722,USD,
BGC,"BGC Group, Inc. Class A",9.6,USD,Finanza,4499978898.999999,USD,
CNR,"Core Natural Resources, Inc.",87.94,USD,Minerali energetici,4483141028,USD,
ITRI,"Itron, Inc.",99.54,USD,Tecnologia elettronica,4473447874,USD,
HCC,"Warrior Met Coal, Inc.",85.01,USD,Minerali energetici,4468989082,USD,
CRNX,Crinetics Pharmaceuticals Inc,43.44,USD,Tecnologia sanitaria,4453114224,USD,
IBOC,International Bancshares Corporation,71.54,USD,Finanza,4447204535,USD,
ANF,Abercrombie & Fitch Co. Class A,96.41,USD,Vendita al dettaglio,4421127083.000001,USD,
ABG,"Asbury Automotive Group, Inc.",226.18,USD,Vendita al dettaglio,4397065580,USD,
OUT,OUTFRONT Media Inc.,26.16,USD,Finanza,4374856015,USD,
MYRG,MYR Group Inc.,281.01,USD,Servizi industriali,4362071685,USD,
LBRT,"Liberty Energy, Inc. Class A",26.85,USD,Servizi industriali,4351083614,USD,
KGS,"Kodiak Gas Services, Inc.",50.63,USD,Servizi industriali,4338173963,USD,
ACMR,"ACM Research, Inc. Class A",66.59,USD,Filiera di fabbricazione,4320122698,USD,
RSI,"Rush Street Interactive, Inc. Class A",18.52,USD,Servizi al consumatore,4311170261.000001,USD,
LMND,Lemonade Inc,57.31,USD,Finanza,4282835184.9999995,USD,
AEO,"American Eagle Outfitters, Inc.",25.26,USD,Vendita al dettaglio,4281872992,USD,
FELE,"Franklin Electric Co., Inc.",95.84,USD,Filiera di fabbricazione,4265875002.0000005,USD,
NWE,"NorthWestern Energy Group, Inc.",68.93,USD,Utenze,4235308924,USD,
INDV,"Indivior Pharmaceuticals, Inc.",33.89,USD,Tecnologia sanitaria,4231298496,USD,
NHI,"National Health Investors, Inc.",88.71,USD,Finanza,4226011649,USD,
ACIW,"ACI Worldwide, Inc.",40.88,USD,Servizi tecnologici,4214237757,USD,
VISN,"Vistance Networks, Inc.",18.97,USD,Tecnologia elettronica,4202778801.9999995,USD,
TERN,"Terns Pharmaceuticals, Inc.",39.23,USD,Tecnologia sanitaria,4171317243.0000005,USD,
SKYW,"SkyWest, Inc",103.23,USD,Trasporti,4171181033.9999995,USD,
UCB,"United Community Banks, Inc.",34.74,USD,Finanza,4155362146,USD,
HGV,"Hilton Grand Vacations, Inc.",48.54,USD,Finanza,4152261706.9999995,USD,
INDB,Independent Bank Corp.,83.46,USD,Finanza,4131028626.9999995,USD,
UNF,UniFirst Corporation,237.9,USD,Servizi al consumatore,4130486280.000001,USD,
JOE,St. Joe Company,71.52,USD,Finanza,4129888571.9999995,USD,
GFF,Griffon Corporation,88.62,USD,Filiera di fabbricazione,4127846193,USD,
KBH,KB Home,65.3,USD,Beni di consumo durevoli,4125236971,USD,
ALHC,"Alignment Healthcare, Inc.",20.6,USD,Servizi sanitari,4121889835,USD,
CNO,"CNO Financial Group, Inc.",43.22,USD,Finanza,4121179062.0000005,USD,
SKT,Tanger Inc.,35.58,USD,Finanza,4095614304,USD,
BTU,Peabody Energy Corporation,33.53,USD,Minerali energetici,4082205978.9999995,USD,
GPI,"Group 1 Automotive, Inc.",342.3,USD,Vendita al dettaglio,4081995645.9999995,USD,
SMR,NuScale Power Corporation Class A,13.44,USD,Filiera di fabbricazione,4068618152.0000005,USD,
FTDR,"Frontdoor, Inc.",56.3,USD,Beni di consumo durevoli,4059972954,USD,
ACAD,ACADIA Pharmaceuticals Inc.,23.99,USD,Tecnologia sanitaria,4058671547,USD,
SPHR,Sphere Entertainment Co. Class A,114.24,USD,Servizi al consumatore,4055761945,USD,
FULT,Fulton Financial Corporation,22.39,USD,Finanza,4027851768.9999995,USD,
IRT,"Independence Realty Trust, Inc.",16.56,USD,Finanza,4027754554,USD,
AZZ,AZZ Inc.,134.9,USD,Industrie di trasformazione,4027529054,USD,
MMS,"MAXIMUS, Inc.",73.78,USD,Servizi commerciali,4024593615.0000005,USD,
PBF,"PBF Energy, Inc. Class A",34.38,USD,Minerali energetici,4019944307.0000005,USD,
ZETA,Zeta Global Holdings Corp. Class A,16.31,USD,Servizi tecnologici,4011856844,USD,
LEU,Centrus Energy Corp. Class A,203.73,USD,Minerali non energetici,4006261928,USD,
DAN,Dana Incorporated,34.27,USD,Filiera di fabbricazione,4004016525.0000005,USD,
KAI,Kadant Inc.,339.91,USD,Filiera di fabbricazione,4003505689,USD,
CVLT,"Commvault Systems, Inc.",91,USD,Servizi tecnologici,4001669319,USD,
SHAK,"Shake Shack, Inc. Class A",93.56,USD,Servizi al consumatore,3993924600,USD,
CALM,"Cal-Maine Foods, Inc.",83.81,USD,Industrie di trasformazione,3993885403.9999995,USD,
SIG,Signet Jewelers Limited,97.92,USD,Vendita al dettaglio,3983820350,USD,
LIF,"Life360, Inc.",50.61,USD,Servizi tecnologici,3967849994.9999995,USD,
DORM,"Dorman Products, Inc.",129.69,USD,Beni di consumo durevoli,3963669499,USD,
GPOR,Gulfport Energy Corp,205.06,USD,Minerali energetici,3961106701.0000005,USD,
CBT,Cabot Corporation,75.62,USD,Industrie di trasformazione,3948998081.0000005,USD,
PRM,Perimeter Solutions Inc,26.64,USD,Industrie di trasformazione,3940687846,USD,
ASO,"Academy Sports and Outdoors, Inc.",58.78,USD,Vendita al dettaglio,3919526573.9999995,USD,
TPH,"Tri Pointe Homes, Inc.",46.31,USD,Beni di consumo durevoli,3912256705.0000005,USD,
AVNT,Avient Corporation,42.57,USD,Industrie di trasformazione,3900464530,USD,
BANF,BancFirst Corporation,116.76,USD,Finanza,3892097912,USD,
ERAS,"Erasca, Inc.",12.54,USD,Tecnologia sanitaria,3882218742,USD,
ICUI,"ICU Medical, Inc.",157.03,USD,Tecnologia sanitaria,3877113883,USD,
KTB,"Kontoor Brands, Inc.",69.71,USD,Beni di consumo non durevoli,3875430688,USD,
PI,"Impinj, Inc.",127.92,USD,Tecnologia elettronica,3867237172,USD,
FIBK,"First Interstate BancSystem, Inc.",37.44,USD,Finanza,3852224573,USD,
RNST,Renasant Corporation,40.49,USD,Finanza,3847416046,USD,
SXT,Sensient Technologies Corporation,90.47,USD,Beni di consumo non durevoli,3845581075,USD,
ADMA,"ADMA Biologics, Inc.",16.1,USD,Tecnologia sanitaria,3831764223,USD,
BKU,"BankUnited, Inc.",50.07,USD,Finanza,3762388482,USD,
GEF,Greif Inc Class A,74.64,USD,Industrie di trasformazione,3761433202.0000005,USD,
GEF.B,Greif Inc Class B,88.88,USD,Industrie di trasformazione,3761433202.0000005,USD,
PII,Polaris Inc.,66.33,USD,Beni di consumo durevoli,3760291993,USD,
USAR,"USA Rare Earth, Inc. Class A",17.23,USD,Filiera di fabbricazione,3755117184.0000005,USD,
LIVN,LivaNova Plc,68.42,USD,Tecnologia sanitaria,3736109987,USD,
STNG,Scorpio Tankers Inc.,71.66,USD,Trasporti,3709321770,USD,
KLIC,"Kulicke & Soffa Industries, Inc.",70.85,USD,Filiera di fabbricazione,3707333521.9999995,USD,
ACLX,"Arcellx, Inc.",64.11,USD,Tecnologia sanitaria,3707024370,USD,
WSFS,WSFS Financial Corporation,67.66,USD,Finanza,3699374916,USD,
MHO,"M/I Homes, Inc.",143.46,USD,Beni di consumo durevoli,3696635811,USD,
CALX,"Calix, Inc.",55.61,USD,Tecnologia elettronica,3685634759.9999995,USD,
PPTA,Perpetua Resources Corp.,30.18,USD,Minerali non energetici,3678117540,USD,
CATY,Cathay General Bancorp,53.51,USD,Finanza,3640639071.9999995,USD,
TDW,Tidewater Inc,73.38,USD,Trasporti,3636944260.9999995,USD,
LGND,Ligand Pharmaceuticals Incorporated,183.98,USD,Tecnologia sanitaria,3621042896,USD,
RELY,"Remitly Global, Inc.",17.15,USD,Servizi commerciali,3612722681.0000005,USD,
BNL,"Broadstone Net Lease, Inc.",18.79,USD,Finanza,3596846164,USD,
ENVA,Enova International Inc,145.33,USD,Finanza,3593254691.0000005,USD,
GTX,Garrett Motion Inc,18.9,USD,Filiera di fabbricazione,3590452850.0000005,USD,
FBP,First Bancorp,22.73,USD,Finanza,3589906123.0000005,USD,
FUL,H.B. Fuller Company,65.94,USD,Industrie di trasformazione,3581319093,USD,
LCII,LCI Industries,147.58,USD,Filiera di fabbricazione,3571142285.0000005,USD,
MCHB,Mechanics Bancorp. Class A,15.44,USD,Finanza,3570402282,USD,
